MPG.city,MPG.highway,Cylinders,EngineSize,Passengers,Weight,Price,Type_Compact,Type_Large,Type_Midsize,Type_Small,Type_Sporty,Type_Van,Origin_USA,Origin_non-USA
19.0,28.0,6,3.4,4.0,3240.0,15.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16.0,25.0,8,4.9,6.0,3620.0,34.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.2,29.0,4,2.3,5.0,2920.0,31.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.0,26.0,8,4.6,6.0,4055.0,36.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,29.0,4,2.3,4.0,2932.0,15.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25.0,31.0,4,1.8,5.0,2705.0,15.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
19.0,26.0,6,2.8,6.0,3405.0,37.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23.0,29.0,4,2.2,5.0,2670.0,11.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25.0,34.0,4,2.2,5.0,2785.0,11.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,22.0,4,2.4,7.0,3785.0,22.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
22.0,31.0,4,2.2,6.0,3416.0,15.7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
24.0,31.0,4,2.3,4.0,2865.0,19.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20.0,28.0,6,3.3,6.0,3515.0,18.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,24.0,6,3.0,7.0,3735.0,19.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19.0,27.0,6,3.4,5.0,3450.0,18.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18.0,24.0,6,3.0,5.0,3510.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20.0,26.0,6,3.3,6.0,3570.0,29.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.2,29.0,4,2.2,6.0,3195.0,15.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
22.0,27.0,4,2.3,5.0,2958.0,11.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,20.0,6,4.3,8.0,4025.0,16.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
29.0,33.0,4,1.5,5.0,2270.0,9.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23.0,26.0,4,1.6,4.0,2450.0,14.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
25.0,33.0,4,1.8,4.0,2240.0,9.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.0,27.5,4,2.5,6.0,3080.0,15.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18.0,25.0,6,2.8,4.0,2810.0,23.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
46.0,50.0,3,1.0,4.0,1695.0,8.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21.4,28.0,6,3.8,6.0,3470.0,20.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,21.0,5,2.5,7.0,3960.0,19.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31.0,33.0,4,1.3,4.0,1845.0,7.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
